"Институт ядерной энергетики (филиал ФГАОУ ВО СПбПУ) г. Сосновый Бор",120
"Институт кибербезопасности и защиты информации",122
"Университетский политехнический колледж",117
"Высшая школа международных образовательных программ",116
"Гуманитарный институт",101
"Институт биомедицинских систем и биотехнологий",119
"Институт физической культуры, спорта и туризма",121
"Институт передовых производственных технологий",111
"Институт прикладной математики и механики",99
"Институт дополнительного образования",114
"Институт машиностроения, материалов и транспорта",94
"Институт физики, нанотехнологий и телекоммуникаций",98
"Институт компьютерных наук и технологий",95
"Инженерно-строительный институт",92
"Высшая школа техносферной безопасности",96
"Институт энергетики",93
"Высшая  школа биотехнологии и пищевых  технологий",112
"Институт промышленного менеджмента, экономики и торговли",100